source_id,title,source_type,system,application,url,local_file,publication_date,status,authority,audience,notes
WSI-WEB-001,Natural Internal Wall Insulation (IWI),system_webpage,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/warmshell-natural-insulation/warmshell-internal-insulation,,,current,manufacturer_webpage,customer|builder|technical,Main system overview; explains components and Assess ? Design ? Install ? Warranty journey
WSI-ASSESS-001,Warmshell Internal Site Assessment Checklist and Guide,assessment_guide,Warmshell,Internal Wall Insulation,Site Assessment Checklist and Guide,wsi_site_assessment_2021.pdf,Oct-21,current,manufacturer_technical_document,builder|technical,"Pre-installation building assessment, moisture, wall type, finishes and suitability"
WSI-DESIGN-001,Warmshell Internal Design Guide,design_guide,Warmshell,Internal Wall Insulation,Warmshell Internal Design Guide,wsi_design_guide_2023.pdf,Jul-23,current,manufacturer_technical_document,technical,"Main design guidance: thermal performance, moisture, fire, risks and design details"
WSI-INSTALL-001,Warmshell Internal Installation Guide,installation_guide,Warmshell,Internal Wall Insulation,Use the Lime Green URL from which you downloaded your current Installation Guide,wsi_installation_guide.pdf,2021,current,manufacturer_technical_document,builder|technical,Practical installation and system build-up instructions
WSI-SPEC-001,Warmshell Internal Specification Clauses,specification,Warmshell,Internal Wall Insulation,Warmshell Internal Specification Clauses,wsi_specification_clauses.pdf,Apr-24,current,manufacturer_technical_document,technical,Formal specification requirements; intended to work with assessment and design guidance
WSI-FIRE-001,Warmshell Internal Reaction to Fire Classification Report EUI-22-000041,fire_classification,Warmshell,Internal Wall Insulation,Independent Fire Classification Report,wsi_fire_classification.pdf,,current,independent_testing,technical,Independent Efectis reaction-to-fire classification report
WSI-BDA-001,BDA Agrément BAW-22-242-S-A-UK – Warmshell Internal,certification,Warmshell,Internal Wall Insulation,Kiwa BDA Agrément,wsi_bda_agrement_2024.pdf,Mar-24,current,independent_certification,technical,Kiwa independent assessment; Revision A updated fire performance in March 2024
WSI-SOLO-001,Solo Onecoat Lime Plaster Technical Data Sheet,product_datasheet,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Datasheets/solo-one-coat-lime-plaster-tds.pdf,solo_onecoat_tds.pdf,04/07/2024,current,manufacturer_technical_document,builder|technical,"Component product used as the internal plaster finish in Warmshell Internal; Solo also has wider standalone applications."
WSI-ADHESIVE-001,Warmshell Board Adhesive Datasheet,product_datasheet,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Datasheets/Warmshell%20Board%20Adhesive%20Datasheet.pdf,warmshell_board_adhesive_tds.pdf,03/10/2020,current,manufacturer_technical_document,builder|technical,"Component product used to bond Warmshell insulation boards to suitable porous backgrounds."
WSI-WOODFIBRE-001,Warmshell Woodfibre Boards Technical Data Sheet,product_datasheet,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Datasheets/warmshell-woodfibre-boards-tds.pdf,warmshell_woodfibre_boards_tds.pdf,18/07/2025,current,manufacturer_technical_document,builder|technical,"Component product datasheet for Warmshell woodfibre insulation boards; boards also have internal, external and roof applications."
WSI-DURO-001,Lime Green Duro Technical Data Sheet,product_datasheet,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Datasheets/Duro%20TDS.pdf,duro_tds.pdf,13/10/2022,current,manufacturer_technical_document,builder|technical,"Duro levelling coat used as part of the current Warmshell Internal build-up; Duro also has wider plaster and render applications."
WSI-DETAILS-001,Warmshell Internal Architects Details,architectural_details,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/IWI%20Architect%20Reference%20-%20Single%20Pages%20-%200623%20Jul%2023.pdf,wsi_architect_details_2023.pdf,07/2023,current,manufacturer_technical_document,builder|technical,"Architectural detail drawings and notes for Warmshell Internal junctions, wall build-ups, windows, floors, roofs, services and other interfaces. File name indicates July 2023; individual drawings contain earlier copyright dates."
WSI-WARRANTY-001,Warmshell Product Warranty Terms,warranty_terms,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Internal%20Warmshell%20Warranty%202022_3.pdf,wsi_warranty_2022.pdf,18/01/2022,current,manufacturer_warranty,customer|builder|technical,"Warmshell Internal materials warranty terms covering specified Warmshell products, conditions, exclusions and maintenance/installation requirements."
WSI-MAINT-001,Warmshell Internal Maintenance Guide,maintenance_guide,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/Documents/Care%20and%20Maintenance%20Guide%20-%20IWI_1.pdf,wsi_maintenance_guide.pdf,10/2021,current,manufacturer_technical_document,customer|builder|technical,"Post-installation care and maintenance guidance for Warmshell Internal covering moisture inspection, ventilation, decoration, fixings, services, alterations and system damage."
WSI-FAQ-001,Warmshell Internal Frequently Asked Questions,faq_webpage,Warmshell,Internal Wall Insulation,https://www.lime-green.co.uk/support/faq,,,current,manufacturer_webpage,customer|builder,"Customer-facing FAQ source. Ingest only the Internal Wall Insulation subsection under Warmshell Systems; exclude General, EWI and unrelated Lime Green product questions."
